stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Yeatit 12 Hospital,,node/7041071637,9.0436921,38.7593176,0
Red-Cross (St. George Total),,node/7041071638,9.0386136,38.7527639,0
St. George Church (Total),,node/7041071639,9.0386684,38.7517494,0
Semen Hotel,,node/7041071640,9.0436522,38.7488778,0
Semen Hotel,,node/7041071641,9.0446929,38.7482928,0
Kelemwerk,,node/7041071642,9.0486023,38.7461719,0
Kelemwerk,,node/7041071643,9.0488673,38.7458026,0
Tibeb Ediget School,,node/7041071645,9.0512494,38.7443439,0
Semen Mazegaga,,node/7041071646,9.0523631,38.7433813,0
Semen Mazagaja,,node/7041071647,9.0537306,38.7424925,0
Shegole Bank,,node/7041071648,9.0541015,38.7200104,0
Pawlos Hospital,,node/7041071649,9.0474202,38.7277601,0
Finance,,node/7041071650,9.0514832,38.7221677,0
Medhanialem (TOTAL),,node/7041071651,9.0513651,38.7220512,0
Finance,,node/7041071653,9.0528369,38.7201878,0
Finance,,node/7041071654,9.0531245,38.7199027,0
Winget Chaf,,node/7041071655,9.0544244,38.7149847,0
4 Menta Adebabay,,node/7041071657,9.0520588,38.7088754,0
Mikili Land,,node/7041071658,9.051327,38.6987792,0
Winget Adebabay,,node/7041071659,9.0571703,38.7137033,0
Awolia,,node/7041071660,9.0576087,38.7116367,0
Gulele Fana,,node/7041071661,9.0577975,38.7067279,0
Gulele Fana,,node/7041071662,9.0582376,38.7065488,0
Berchiko,,node/7041071663,9.0593548,38.7034077,0
Gebriel (Sansusi),,node/7041071665,9.0665816,38.69045,0
Bono Weha,,node/7041071718,9.057952,38.7791204,0
Mezan,,node/7041071719,9.053538,38.7722233,0
3rd Shaleka,,node/7041071721,9.0470252,38.7690705,0
6 Kilo (University),,node/7041071723,9.0461753,38.7615547,0
Meksaye Hizunan Medhanialem,,node/7041071725,9.0513004,38.7622054,0
Teferi Mekonen,,node/7041071726,9.052326,38.7622236,0
Sebseba Maekel,,node/7041071729,9.0541533,38.7625698,0
Eyesus,,node/7041071737,9.0649811,38.7715088,0
Hamle 19,,node/7041071738,9.0585516,38.7680987,0
Selassie,,node/7041071740,9.0692162,38.7607205,0
Sanba Nekersa-Shiromeda,,node/7041071741,9.0745256,38.7590628,0
Kuskoam,,node/7041071742,9.0777328,38.7572536,0
Dil Ber,,node/7041071749,9.0710894,38.7374397,0
Anbessa Garage (Shegole),,node/7041071753,9.0638294,38.7204079,0
Kebt Beret,,node/7041071754,9.0691617,38.7182194,0
Entoto Kela,,node/7041071755,9.0843712,38.7230011,0
Weserbi Realestate,,node/7041071758,9.1051152,38.7095299,0
Classy Water,,node/7041071759,9.1095355,38.7147037,0
Medret Hotel,,node/7041071760,9.1100449,38.7158285,0
Kburea,,node/7041071761,9.1176074,38.7300979,0
Kenenisa,,node/7041071762,9.1179357,38.7304557,0
Shefunea,,node/7041071763,9.1273122,38.7395293,0
Shefine,,node/7041071764,9.1277902,38.7397834,0
Doro Erbata,,node/7041071772,9.1339361,38.7522344,0
Abo Gabriel,,node/7041071773,9.1341343,38.7524529,0
Tulu Fati,,node/7041071774,9.1408321,38.7549356,0
Ashewa,,node/7041071775,9.1449015,38.7538733,0
Tabya Hotel,,node/7041071776,9.1560016,38.7542489,0
Sar Bet (Roundabout),,node/7047495429,8.9929589,38.738359,0
United Bank (Ashewa Meda),,node/7047495432,9.0286142,38.6600221,0
Sefera,,node/7047495433,8.9208064,38.7346499,0
Hana Mariam (2),,node/7049122265,8.935835,38.7440895,0
Haile Garment,,node/7049122266,8.9387647,38.7345586,0
Yekiber Demena Church,,node/7049921444,9.0304285,38.8779866,0
Megenagna Terminal,,node/7049921445,9.0204726,38.8024339,0
Hill Bottom (Recreation),,node/7049921447,9.0220882,38.8759579,0
Zone 8,,node/7049921448,9.0304125,38.8775474,0
Aba Kiros (Tafo) Roundabout,,node/7049921449,9.0570656,38.8779122,0
Tafo Junction,,node/7050234123,9.0566049,38.8790275,0
Megenagna Terminal,,node/7050327664,9.020626,38.8021323,0
6 Kilo,,node/7054842410,9.0476858,38.7617178,0
6 Kilo,,node/7054842414,9.0476498,38.7617169,0
Legehar (Old Train Station),,node/7055060064,9.0106346,38.7532161,0
Kotebe Gebriel,,node/7055598734,9.0359897,38.8546711,0
Ahmed Building,,node/7055598736,9.0269686,38.8299268,0
St. Mary Church,,node/7055598738,9.0363488,38.7579049,0
Piassa Arada,,node/7055598739,9.0335541,38.7535483,0
Piassa Arada,,node/7055598742,9.0327818,38.7534018,0
St. Mary Church,,node/7055598743,9.0363807,38.7579442,0
NOC End,,node/7055598744,9.0274541,38.8307544,0
Kotebe Teachers College,,node/7056754511,9.0341209,38.8467717,0
Meskelegna (Ababdo),,node/7056754514,9.0630764,38.8732637,0
Megenagna,,node/7056754516,9.020907,38.8022361,0
Atlas,,node/7057002158,9.0041945,38.779674,0
Piassa Arada,,node/7057002161,9.0329242,38.7528717,0
Ras Mekonene Bridge (Seba Dereja),,node/7057002162,9.0389386,38.7568279,0
Brass Clinic (Bole),,node/7057187392,8.9904207,38.7929906,0
Brass Clinic (Bole),,node/7057187393,8.9903142,38.7932003,0
St.Gorgis,,node/7062689844,9.0379471,38.7519784,0
St. George Church (2),,node/7062689845,9.0358742,38.751629,0
Piassa,,node/7062689848,9.0345896,38.7549398,0
Arat Kilo,,node/7062689850,9.0325203,38.764362,0
4 Kilo,,node/7062689851,9.0344021,38.7630946,0
Education Bureau (6 Kilo),,node/7062689854,9.044142,38.7635923,0
Jan Meda,,node/7062689855,9.0471236,38.7690204,0
Frensaye Kela,,node/7062689856,9.0557922,38.7742742,0
Frensaye Kela,,node/7062689857,9.0551762,38.7736282,0
Abo Mazoriya,,node/7062689858,9.0569998,38.7777387,0
Gurara,,node/7062689859,9.0623294,38.7881845,0
Mamo (NFSL TVET),,node/7067942461,8.9730894,38.7608987,0
Agona Cinema,,node/7067942462,8.988213,38.7595747,0
Agona Cinema,,node/7067942463,8.9882665,38.7597959,0
Tele Garage,,node/7067942465,9.0004682,38.7587377,0
Zerihun Building,,node/7067990019,9.0145395,38.7824519,0
6th (Raddison Blu),,node/7067990020,9.0166971,38.7669539,0
National Palace,,node/7070861695,9.0264536,38.7621198,0
SNAP Building,,node/7070861696,8.9897614,38.7872174,0
Friendship,,node/7070861697,8.9908557,38.7844888,0
Heber Restaurant,,node/7070861698,8.9917592,38.7822311,0
RWANDA (Werbek House),,node/7070861699,8.992295,38.7791533,0
Wollo Sefer,,node/7070861700,8.9946542,38.7740953,0
Rwanda,,node/7070861701,8.9924,38.7798477,0
Bole Printing Press,,node/7070861702,8.9966227,38.7723732,0
Bole Printing Press,,node/7070861703,8.9976714,38.7715908,0
Mega Printing Press,,node/7070861704,8.9993469,38.7708659,0
Shewa Dabo,,node/7070861705,9.001132,38.7697078,0
Getu Commercial Center,,node/7070861706,9.0014126,38.7697673,0
Flamingo,,node/7070861710,9.0100482,38.7634195,0
Piassa Arada,,node/7070861712,9.0358386,38.7528459,0
Anbessa Garage,,node/7070861713,9.0074376,38.8054033,0
Ayat Roundabout,,node/7070861714,9.0221276,38.876525,0
Gebriel,,node/7070861716,9.0401288,38.8777949,0
Semen Mazegaja | ሰሜን ማዘጋጃ,,node/7074233342,9.0527134,38.7433527,0
Del Ber School,,node/7074233343,9.0559007,38.7411604,0
Adisu Gebeya,,node/7074233344,9.0592088,38.7379037,0
Kelebat,,node/7074233345,9.061605,38.7355505,0
Oilibiya (Dil Ber),,node/7074233346,9.0679367,38.7347909,0
Pastor,,node/7074267433,9.0463006,38.7301845,0
Medhanialem,,node/7074267434,9.051161,38.7228618,0
Winget,,node/7074267435,9.0554455,38.7138884,0
Kela,,node/7074269464,9.0576131,38.6101592,0
Semen Hotel,,node/7074275407,9.0452427,38.7481339,0
Kera,,node/7074294627,8.9866969,38.7484333,0
Asko,,node/7074299254,9.0653014,38.6922669,0
Sebategna,,node/7074324043,9.0286512,38.733098,0
Autobis Tera,,node/7074324045,9.0347276,38.7321005,0
